LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.320, Time: 5.099582 s
         2757701 function calls (2742979 primitive calls) in 6.799 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      284    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
      852    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
      284    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
      284    0.001    0.000    0.065    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
     3149    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
      328    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
     3149    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
      568    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      284    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:774(create_module)
    284/4    0.001    0.000    1.662    0.415 <frozen importlib._bootstrap_external>:777(exec_module)
     1393    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
      284    0.004    0.000    0.100    0.000 <frozen importlib._bootstrap_external>:849(get_code)
      474    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
      284    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
      284    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:964(get_filename)
      284    0.003    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:969(get_data)
      438    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
       35    0.000    0.000    0.001    0.000 <frozen zipimport>:63(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
        8    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 ElementPath.py:334(_SelectorContext)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:106(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1140(_ListDataStream)
        1    0.000    0.000    0.000    0.000 ElementTree.py:125(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1254(XMLPullParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1366(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1488(XMLParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1751(C14NWriterTarget)
        1    0.000    0.000    0.001    0.001 ElementTree.py:36(_get_py3_cls)
        1    0.000    0.000    0.000    0.000 ElementTree.py:492(QName)
        1    0.000    0.000    0.000    0.000 ElementTree.py:540(ElementTree)
        1    0.000    0.000    0.004    0.004 ElementTree.py:6(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:79(DefusedXMLParser)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:104(GimpGradientFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:16(<module>)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:66(GradientFile)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:17(<module>)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:22(GimpPaletteFile)
        1    0.000    0.000    0.000    0.000 Image.py:114(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 Image.py:118(DecompressionBombError)
        1    0.000    0.000    0.000    0.000 Image.py:185(Transpose)
        1    0.000    0.000    0.000    0.000 Image.py:196(Transform)
        1    0.000    0.000    0.000    0.000 Image.py:205(Resampling)
        1    0.000    0.000    0.000    0.000 Image.py:224(Dither)
        1    0.000    0.000    0.000    0.000 Image.py:232(Palette)
        1    0.000    0.000    0.000    0.000 Image.py:237(Quantize)
        1    0.000    0.000    0.014    0.014 Image.py:27(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:2700(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2709(ImageTransformHandler)
        1    0.000    0.000    0.000    0.000 Image.py:3231(register_open)
        1    0.000    0.000    0.000    0.000 Image.py:3246(register_mime)
        1    0.000    0.000    0.000    0.000 Image.py:3257(register_save)
        1    0.000    0.000    0.000    0.000 Image.py:3268(register_save_all)
        2    0.000    0.000    0.000    0.000 Image.py:3280(register_extension)
        1    0.000    0.000    0.000    0.000 Image.py:3291(register_extensions)
        1    0.000    0.000    0.000    0.000 Image.py:3401(_apply_env_variables)
        1    0.000    0.000    0.000    0.000 Image.py:3437(Exif)
        1    0.000    0.000    0.000    0.000 Image.py:469(_E)
        1    0.000    0.000    0.000    0.000 Image.py:510(Image)
        1    0.000    0.000    0.000    0.000 Image.py:701(_ArrayData)
        1    0.000    0.000    0.000    0.000 ImageChops.py:18(<module>)
        1    0.000    0.000    0.000    0.000 ImageColor.py:20(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:30(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:315(StubImageFile)
        1    0.000    0.000    0.000    0.000 ImageFile.py:342(Parser)
        1    0.000    0.000    0.000    0.000 ImageFile.py:566(PyCodecState)
        1    0.000    0.000    0.000    0.000 ImageFile.py:577(PyCodec)
        1    0.000    0.000    0.000    0.000 ImageFile.py:647(PyDecoder)
        1    0.000    0.000    0.000    0.000 ImageFile.py:694(PyEncoder)
        1    0.000    0.000    0.000    0.000 ImageFile.py:84(ImageFile)
        1    0.000    0.000    0.000    0.000 ImageMode.py:16(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:22(ModeDescriptor)
        1    0.000    0.000    0.002    0.002 ImagePalette.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:25(ImagePalette)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(Iterator)
        1    0.000    0.000    6.799    6.799 LebwohlLasher.py:1(<module>)
   377500    3.270    0.000    3.270    0.000 LebwohlLasher.py:131(one_energy)
       51    0.045    0.001    1.079    0.021 LebwohlLasher.py:165(all_energy)
       51    1.062    0.021    1.079    0.021 LebwohlLasher.py:182(get_order)
       50    0.448    0.009    2.975    0.060 LebwohlLasher.py:210(MC_step)
        1    0.001    0.001    5.136    5.136 LebwohlLasher.py:257(main)
        1    0.000    0.000    0.000    0.000 LebwohlLasher.py:33(initdat)
        2    0.000    0.000    0.000    0.000 LebwohlLasher.py:47(plotdat)
        1    0.000    0.000    0.002    0.002 LebwohlLasher.py:94(savedat)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:16(<module>)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:19(PaletteFile)
