Compiling LebwohlLasher_cython.pyx because it changed.
[1/1] Cythonizing LebwohlLasher_cython.pyx
         3139324 function calls (2879000 primitive calls) in 3.571 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      805    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:939(__init__)
      390    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:964(get_filename)
      390    0.005    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:969(get_data)
     4786    0.002    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
       51    0.000    0.000    0.001    0.000 <frozen zipimport>:63(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        4    0.000    0.000    0.000    0.000 <string>:1(__new__)
        4    0.000    0.000    0.000    0.000 <string>:2(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.000    0.000 <string>:4(<module>)
        1    0.000    0.000    0.000    0.000 AnalysedTreeTransforms.py:1(<module>)
        1    0.000    0.000    0.000    0.000 AnalysedTreeTransforms.py:10(AutoTestDictTransform)
       10    0.000    0.000    0.000    0.000 AnalysedTreeTransforms.py:17(visit_ModuleNode)
       32    0.000    0.000    0.000    0.000 AnalysedTreeTransforms.py:59(visit_ExprNode)
        8    0.000    0.000    0.000    0.000 AnalysedTreeTransforms.py:64(visit_FuncDefNode)
        1    0.000    0.000    0.000    0.000 Annotate.py:24(AnnotationCCodeWriter)
        1    0.000    0.000    0.021    0.021 Annotate.py:3(<module>)
        1    0.000    0.000    0.000    0.000 Annotate.py:305(AnnotationItem)
        1    0.000    0.000    0.001    0.001 AutoDocTransforms.py:1(<module>)
        1    0.000    0.000    0.000    0.000 AutoDocTransforms.py:10(AnnotationWriter)
       16    0.001    0.000    0.002    0.000 AutoDocTransforms.py:110(__call__)
       25    0.000    0.000    0.000    0.000 AutoDocTransforms.py:116(visit_ClassDefNode)
       72    0.000    0.000    0.000    0.000 AutoDocTransforms.py:135(visit_DefNode)
      117    0.000    0.000    0.000    0.000 AutoDocTransforms.py:176(visit_CFuncDefNode)
       23    0.000    0.000    0.000    0.000 AutoDocTransforms.py:199(visit_PropertyNode)
        1    0.000    0.000    0.000    0.000 AutoDocTransforms.py:20(EmbedSignature)
       16    0.000    0.000    0.000    0.000 AutoDocTransforms.py:22(__init__)
        1    0.000    0.000    0.010    0.010 Buffer.py:1(<module>)
       16    0.001    0.000    0.013    0.001 Buffer.py:101(visit_ModuleNode)
  215/213    0.009    0.000    0.010    0.000 Buffer.py:106(visit_FuncDefNode)
        1    0.000    0.000    0.000    0.000 Buffer.py:127(analyse_buffer_options)
        2    0.000    0.000    0.000    0.000 Buffer.py:181(assert_bool)
        1    0.000    0.000    0.000    0.000 Buffer.py:196(BufferEntry)
       29    0.000    0.000    0.001    0.000 Buffer.py:205(init_attributes)
      116    0.000    0.000    0.000    0.000 Buffer.py:219(_for_all_ndim)
      116    0.000    0.000    0.000    0.000 Buffer.py:220(<listcomp>)
        1    0.000    0.000    0.000    0.000 Buffer.py:23(IntroduceBufferAuxiliaryVars)
       16    0.000    0.000    0.013    0.001 Buffer.py:32(__call__)
       29    0.001    0.000    0.005    0.000 Buffer.py:425(put_buffer_lookup_code)
      231    0.001    0.000    0.002    0.000 Buffer.py:46(handle_scope)
        1    0.000    0.000    0.000    0.000 Buffer.py:491(use_bufstruct_declare_code)
      231    0.001    0.000    0.001    0.000 Buffer.py:51(<listcomp>)
        1    0.000    0.000    0.000    0.000 Buffer.py:553(use_py2_buffer_functions)
        1    0.000    0.000    0.000    0.000 Buffer.py:557(GetAndReleaseBufferUtilityCode)
      231    0.000    0.000    0.001    0.000 Buffer.py:56(<listcomp>)
        2    0.000    0.000    0.000    0.000 Buffer.py:565(__init__)
        8    0.000    0.000    0.000    0.000 Buffer.py:568(__eq__)
       11    0.000    0.000    0.000    0.000 Buffer.py:571(__hash__)
        1    0.000    0.000    0.000    0.000 Buffer.py:574(get_tree)
        1    0.000    0.000    0.001    0.001 Buffer.py:576(put_code)
     41/1    0.000    0.000    0.000    0.000 Buffer.py:585(find_buffer_types)
       47    0.000    0.000    0.000    0.000 Buffer.py:619(mangle_dtype_name)
       27    0.000    0.000    0.000    0.000 Buffer.py:633(get_type_information_cname)
        2    0.000    0.000    0.000    0.000 Buffer.py:712(<listcomp>)
        8    0.000    0.000    0.010    0.001 Buffer.py:718(load_buffer_utility)
        4    0.000    0.000    0.000    0.000 Builtin.py:109(<genexpr>)
        4    0.000    0.000    0.000    0.000 Builtin.py:116(<genexpr>)
        1    0.000    0.000    0.000    0.000 Builtin.py:179(<listcomp>)
        1    0.000    0.000    0.000    0.000 Builtin.py:185(<listcomp>)
        1    0.000    0.000    0.000    0.000 Builtin.py:30(_BuiltinOverride)
       78    0.000    0.000    0.000    0.000 Builtin.py:31(__init__)
        1    0.000    0.000    0.002    0.002 Builtin.py:383(init_builtin_funcs)
        1    0.000    0.000    0.003    0.003 Builtin.py:389(init_builtin_types)
       65    0.000    0.000    0.001    0.000 Builtin.py:41(build_func_type)
        1    0.000    0.000    0.000    0.000 Builtin.py:410(init_builtin_structs)
        1    0.000    0.000    0.006    0.006 Builtin.py:420(init_builtins)
        1    0.000    0.000    0.100    0.100 Builtin.py:5(<module>)
        1    0.000    0.000    0.000    0.000 Builtin.py:53(BuiltinAttribute)
        6    0.000    0.000    0.000    0.000 Builtin.py:54(__init__)
        6    0.000    0.000    0.000    0.000 Builtin.py:60(declare_in_type)
        1    0.000    0.000    0.000    0.000 Builtin.py:70(BuiltinFunction)
       46    0.000    0.000    0.002    0.000 Builtin.py:71(declare_in_scope)
        1    0.000    0.000    0.000    0.000 Builtin.py:79(BuiltinMethod)
       32    0.000    0.000    0.002    0.000 Builtin.py:80(declare_in_type)
      438    0.001    0.000    0.002    0.000 Code.py:1003(get_py_string_const)
        1    0.000    0.000    0.000    0.000 Code.py:1062(PyStringConst)
      202    0.000    0.000    0.000    0.000 Code.py:1072(__init__)
        2    0.000    0.000    0.000    0.000 Code.py:1081(__lt__)
        1    0.000    0.000    0.000    0.000 Code.py:1085(GlobalState)
        1    0.000    0.000    0.000    0.000 Code.py:1145(__init__)
        1    0.000    0.000    0.000    0.000 Code.py:1170(initialize_main_c_code)
        1    0.000    0.000    0.006    0.006 Code.py:1212(finalize_main_c_code)
      300    0.000    0.000    0.000    0.000 Code.py:1223(__getitem__)
        1    0.000    0.000    0.005    0.005 Code.py:1229(close_global_decls)
        1    0.000    0.000    0.000    0.000 Code.py:124(IncludeCode)
       10    0.000    0.000    0.000    0.000 Code.py:1270(put_pyobject_decl)
       44    0.000    0.000    0.000    0.000 Code.py:1275(get_cached_constants_writer)
       23    0.000    0.000    0.000    0.000 Code.py:1283(get_int_const)
        3    0.000    0.000    0.000    0.000 Code.py:1291(get_float_const)
       44    0.000    0.000    0.000    0.000 Code.py:1298(get_py_const)
      440    0.001    0.000    0.005    0.000 Code.py:1313(get_string_const)
      438    0.001    0.000    0.008    0.000 Code.py:1335(get_py_string_const)
       10    0.000    0.000    0.000    0.000 Code.py:1349(get_interned_identifier)
      201    0.001    0.000    0.003    0.000 Code.py:1352(new_string_const)
       10    0.000    0.000    0.000    0.000 Code.py:1358(new_num_const)
       38    0.000    0.000    0.000    0.000 Code.py:1364(new_py_const)
      201    0.000    0.000    0.002    0.000 Code.py:1370(new_string_const_cname)
       10    0.000    0.000    0.000    0.000 Code.py:1375(new_num_const_cname)
      239    0.001    0.000    0.002    0.000 Code.py:1384(new_const_cname)
       11    0.000    0.000    0.001    0.000 Code.py:1419(add_cached_builtin_decl)
       10    0.000    0.000    0.001    0.000 Code.py:1438(put_cached_builtin_init)
        1    0.000    0.000    0.005    0.005 Code.py:1449(generate_const_declarations)
        1    0.000    0.000    0.000    0.000 Code.py:1455(generate_object_constant_decls)
        1    0.000    0.000    0.000    0.000 Code.py:1456(<listcomp>)
        1    0.000    0.000    0.000    0.000 Code.py:1464(generate_cached_methods_decls)
        1    0.001    0.001    0.004    0.004 Code.py:1485(generate_string_constants)
        1    0.000    0.000    0.000    0.000 Code.py:1486(<listcomp>)
       92    0.000    0.000    0.001    0.000 Code.py:150(__init__)
        1    0.000    0.000    0.000    0.000 Code.py:1562(generate_num_constants)
        1    0.000    0.000    0.000    0.000 Code.py:1563(<listcomp>)
       11    0.000    0.000    0.000    0.000 Code.py:1590(should_declare)
     1060    0.001    0.000    0.001    0.000 Code.py:1604(lookup_filename)
     1240    0.002    0.000    0.005    0.000 Code.py:1614(commented_file_contents)
        8    0.002    0.000    0.003    0.000 Code.py:1622(<listcomp>)
  948/833    0.001    0.000    0.033    0.000 Code.py:1639(use_utility_code)
      222    0.000    0.000    0.000    0.000 Code.py:1652(use_entry_utility_code)
        8    0.000    0.000    0.000    0.000 Code.py:1661(funccontext_property)
      975    0.000    0.000    0.000    0.000 Code.py:1664(get)
      279    0.000    0.000    0.000    0.000 Code.py:1666(set)
        1    0.000    0.000    0.000    0.000 Code.py:1671(CCodeConfig)
        1    0.000    0.000    0.000    0.000 Code.py:1676(__init__)
        1    0.000    0.000    0.000    0.000 Code.py:1682(CCodeWriter)
      208    0.001    0.000    0.001    0.000 Code.py:1713(__init__)
      203    0.000    0.000    0.000    0.000 Code.py:172(dict_update)
      207    0.000    0.000    0.001    0.000 Code.py:1740(create_new)
      208    0.000    0.000    0.000    0.000 Code.py:1746(set_global_state)
        1    0.000    0.000    0.003    0.003 Code.py:1751(copyto)
        5    0.000    0.000    0.000    0.000 Code.py:1754(getvalue)
    41500    0.042    0.000    0.064    0.000 Code.py:1757(write)
      207    0.000    0.000    0.003    0.000 Code.py:1764(insertion_point)
      413    0.000    0.000    0.001    0.000 Code.py:1804(new_label)
       52    0.000    0.000    0.000    0.000 Code.py:1805(new_error_label)
       47    0.000    0.000    0.000    0.000 Code.py:1808(set_loop_labels)
       47    0.000    0.000    0.000    0.000 Code.py:1809(new_loop_labels)
        3    0.000    0.000    0.000    0.000 Code.py:1810(get_all_labels)
        4    0.000    0.000    0.000    0.000 Code.py:1811(set_all_labels)
        3    0.000    0.000    0.000    0.000 Code.py:1812(all_new_labels)
      204    0.000    0.000    0.000    0.000 Code.py:1814(label_used)
      165    0.000    0.000    0.002    0.000 Code.py:1817(enter_cfunc_scope)
      165    0.000    0.000    0.000    0.000 Code.py:1820(exit_cfunc_scope)
       23    0.000    0.000    0.000    0.000 Code.py:1825(get_py_int)
        3    0.000    0.000    0.000    0.000 Code.py:1828(get_py_float)
       44    0.000    0.000    0.000    0.000 Code.py:1831(get_py_const)
        2    0.000    0.000    0.000    0.000 Code.py:1834(get_string_const)
       42    0.000    0.000    0.000    0.000 Code.py:184(sortkey)
      414    0.000    0.000    0.008    0.000 Code.py:1840(get_py_string_const)
      248    0.000    0.000    0.004    0.000 Code.py:1851(intern_identifier)
       44    0.000    0.000    0.000    0.000 Code.py:1854(get_cached_constants_writer)
    12604    0.013    0.000    0.116    0.000 Code.py:1859(putln)
      203    0.000    0.000    0.000    0.000 Code.py:187(mainpiece)
     6444    0.005    0.000    0.005    0.000 Code.py:1873(mark_pos)
     1240    0.004    0.000    0.028    0.000 Code.py:1880(emit_marker)
     1240    0.007    0.000    0.014    0.000 Code.py:1893(_build_marker)
       46    0.000    0.000    0.000    0.000 Code.py:1902(put_safe)
      196    0.000    0.000    0.002    0.000 Code.py:1907(put_or_include)
    12930    0.015    0.000    0.061    0.000 Code.py:1921(put)
       13    0.000    0.000    0.000    0.000 Code.py:194(write)
    13439    0.007    0.000    0.029    0.000 Code.py:1966(indent)
      642    0.001    0.000    0.003    0.000 Code.py:1972(put_label)
      238    0.000    0.000    0.003    0.000 Code.py:1976(put_goto)
      220    0.001    0.000    0.004    0.000 Code.py:1980(put_var_declaration)
       21    0.000    0.000    0.001    0.000 Code.py:200(get_utility_dir)
      162    0.001    0.000    0.008    0.000 Code.py:2001(put_temp_declarations)
        1    0.000    0.000    0.000    0.000 Code.py:2022(put_generated_by)
      945    0.001    0.000    0.001    0.000 Code.py:2030(unlikely)
      103    0.000    0.000    0.000    0.000 Code.py:2036(build_function_modifiers)
       18    0.000    0.000    0.000    0.000 Code.py:2039(<listcomp>)
       60    0.000    0.000    0.000    0.000 Code.py:2043(entry_as_pyobject)
     1098    0.004    0.000    0.006    0.000 Code.py:2051(as_pyobject)
      692    0.001    0.000    0.006    0.000 Code.py:2055(put_gotref)
      167    0.000    0.000    0.001    0.000 Code.py:2058(put_giveref)
       95    0.000    0.000    0.001    0.000 Code.py:2061(put_xgiveref)
       29    0.000    0.000    0.000    0.000 Code.py:2064(put_xgotref)
      232    0.000    0.000    0.004    0.000 Code.py:2067(put_incref)
        1    0.000    0.000    0.000    0.000 Code.py:207(UtilityCodeBase)
       11    0.000    0.000    0.000    0.000 Code.py:2073(put_decref)
        5    0.000    0.000    0.000    0.000 Code.py:2092(put_var_incref)
      490    0.001    0.000    0.008    0.000 Code.py:2103(put_decref_clear)
      255    0.000    0.000    0.005    0.000 Code.py:2107(put_xdecref)
      127    0.000    0.000    0.002    0.000 Code.py:2111(put_xdecref_clear)
      883    0.002    0.000    0.014    0.000 Code.py:2115(_put_decref)
       87    0.000    0.000    0.001    0.000 Code.py:2136(put_decref_set)
       10    0.000    0.000    0.000    0.000 Code.py:2139(put_xdecref_set)
       55    0.000    0.000    0.001    0.000 Code.py:2142(put_var_decref)
       32    0.000    0.000    0.001    0.000 Code.py:2194(put_xdecref_memoryviewslice)
       34    0.000    0.000    0.000    0.000 Code.py:2202(put_init_to_py_none)
       12    0.000    0.000    0.000    0.000 Code.py:2210(put_init_var_to_py_none)
       34    0.000    0.000    0.000    0.000 Code.py:2218(put_pymethoddef)
       13    0.000    0.000    0.000    0.000 Code.py:2250(put_pymethoddef_wrapper)
        8    0.000    0.000    0.000    0.000 Code.py:2263(put_ensure_gil)
        8    0.000    0.000    0.000    0.000 Code.py:2284(put_release_ensured_gil)
       55    0.000    0.000    0.001    0.000 Code.py:2335(put_error_if_neg)
