LebwohlLasher_numpy.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.323, Time: 4.897201 s
         3622811 function calls (3608101 primitive calls) in 6.367 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      469    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1475(__init__)
      280    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1481(<genexpr>)
      320    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1509(_get_spec)
      563    0.006    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:1514(find_spec)
      433    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
       35    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1565(_fill_cache)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
       35    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1606(path_hook_for_FileFinder)
       81    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
      548    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
      320    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
      274    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
      274    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
      274    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
      274    0.001    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
      563    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
      320    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
      822    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      274    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:841(create_module)
    274/4    0.001    0.000    1.429    0.357 <frozen importlib._bootstrap_external>:844(exec_module)
      274    0.003    0.000    0.077    0.000 <frozen importlib._bootstrap_external>:916(get_code)
       35    0.000    0.000    0.001    0.000 <frozen zipimport>:63(__init__)
        8    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
        1    0.000    0.000    0.000    0.000 ElementPath.py:333(_SelectorContext)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:106(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1111(_ListDataStream)
        1    0.000    0.000    0.000    0.000 ElementTree.py:125(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1278(XMLPullParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1390(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1512(XMLParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1775(C14NWriterTarget)
        1    0.000    0.000    0.001    0.001 ElementTree.py:36(_get_py3_cls)
        1    0.000    0.000    0.000    0.000 ElementTree.py:477(QName)
        1    0.000    0.000    0.000    0.000 ElementTree.py:525(ElementTree)
        1    0.000    0.000    0.004    0.004 ElementTree.py:6(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:79(DefusedXMLParser)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:104(GimpGradientFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:16(<module>)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:66(GradientFile)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:17(<module>)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:22(GimpPaletteFile)
        1    0.000    0.000    0.000    0.000 Image.py:153(Transpose)
        1    0.000    0.000    0.000    0.000 Image.py:164(Transform)
        1    0.000    0.000    0.000    0.000 Image.py:173(Resampling)
        1    0.000    0.000    0.000    0.000 Image.py:192(Dither)
        1    0.000    0.000    0.000    0.000 Image.py:200(Palette)
        1    0.000    0.000    0.000    0.000 Image.py:205(Quantize)
        1    0.000    0.000    0.020    0.020 Image.py:27(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:2721(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2730(ImageTransformHandler)
        1    0.000    0.000    0.000    0.000 Image.py:3255(register_open)
        1    0.000    0.000    0.000    0.000 Image.py:3270(register_mime)
        1    0.000    0.000    0.000    0.000 Image.py:3281(register_save)
        1    0.000    0.000    0.000    0.000 Image.py:3292(register_save_all)
        2    0.000    0.000    0.000    0.000 Image.py:3304(register_extension)
        1    0.000    0.000    0.000    0.000 Image.py:3315(register_extensions)
        1    0.000    0.000    0.000    0.000 Image.py:3425(_apply_env_variables)
        1    0.000    0.000    0.000    0.000 Image.py:3461(Exif)
        1    0.000    0.000    0.000    0.000 Image.py:441(_E)
        1    0.000    0.000    0.000    0.000 Image.py:484(Image)
        1    0.000    0.000    0.000    0.000 Image.py:82(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 Image.py:86(DecompressionBombError)
        1    0.000    0.000    0.000    0.000 ImageChops.py:18(<module>)
        1    0.000    0.000    0.000    0.000 ImageColor.py:20(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:30(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:315(StubImageFile)
        1    0.000    0.000    0.000    0.000 ImageFile.py:342(Parser)
        1    0.000    0.000    0.000    0.000 ImageFile.py:566(PyCodecState)
        1    0.000    0.000    0.000    0.000 ImageFile.py:577(PyCodec)
        1    0.000    0.000    0.000    0.000 ImageFile.py:647(PyDecoder)
        1    0.000    0.000    0.000    0.000 ImageFile.py:694(PyEncoder)
        1    0.000    0.000    0.000    0.000 ImageFile.py:84(ImageFile)
        1    0.000    0.000    0.000    0.000 ImageMode.py:16(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:22(ModeDescriptor)
        1    0.000    0.000    0.002    0.002 ImagePalette.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:25(ImagePalette)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(Iterator)
        1    0.000    0.000    6.368    6.368 LebwohlLasher_numpy.py:1(<module>)
