./code/LebwohlLasher_numba_parallel.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.328, Time: 2.061183 s
         14268641 function calls (13308636 primitive calls) in 11.318 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      728    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
      728    0.003    0.000    0.120    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
    14126    0.011    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
     1223    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
    14126    0.009    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
     1456    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      728    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:774(create_module)
   728/33    0.003    0.000    2.751    0.083 <frozen importlib._bootstrap_external>:777(exec_module)
     8786    0.004    0.000    0.136    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
      728    0.009    0.000    0.208    0.000 <frozen importlib._bootstrap_external>:849(get_code)
     5856    0.004    0.000    0.111    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
     1143    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:939(__init__)
      728    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:964(get_filename)
      728    0.009    0.000    0.054    0.000 <frozen importlib._bootstrap_external>:969(get_data)
     5263    0.002    0.000    0.109    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
       85    0.000    0.000    0.002    0.000 <frozen zipimport>:63(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
      431    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 ElementPath.py:334(_SelectorContext)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:106(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1140(_ListDataStream)
        1    0.000    0.000    0.000    0.000 ElementTree.py:125(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1254(XMLPullParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1366(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1488(XMLParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1751(C14NWriterTarget)
        1    0.000    0.000    0.002    0.002 ElementTree.py:36(_get_py3_cls)
        1    0.000    0.000    0.000    0.000 ElementTree.py:492(QName)
        1    0.000    0.000    0.000    0.000 ElementTree.py:540(ElementTree)
        1    0.000    0.000    0.005    0.005 ElementTree.py:6(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:79(DefusedXMLParser)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:104(GimpGradientFile)
